Year,State,County,FIPS Code,Population,Democrat Votes,Democrat Percentage,Republican Votes,Republican Percentage,Other Votes,Other Percentage,Total Votes,Turnout,D-R margin,Two party vote share,Bachelor's degree or higher,At least some college,High school graduate,Less than high school,Unemployment rate
2000,Alabama,Autauga County,01001,43751,4942,28.72,11993,69.69,273,1.59,17208,39.33,-40.97,98.41,18.0,44.9,78.7,21.3,4.1
2000,Alabama,Baldwin County,01003,140416,13997,24.78,40872,72.37,1611,2.85,56480,40.22,-47.59,97.15,23.1,52.4,82.0,18.0,3.7
2000,Alabama,Barbour County,01005,29042,5188,49.91,5096,49.02,111,1.07,10395,35.79,0.89,98.93,10.9,32.2,64.6,35.3,5.6
2000,Alabama,Bibb County,01007,19856,2710,38.16,4273,60.17,118,1.66,7101,35.76,-22.01,98.33,7.1,27.5,63.2,36.8,5.4
2000,Alabama,Blount County,01009,50982,4977,27.69,12667,70.48,329,1.83,17973,35.25,-42.79,98.17,9.6,34.4,70.4,29.6,3.5
2000,Alabama,Bullock County,01011,11603,3395,69.23,1433,29.22,76,1.55,4904,42.26,40.01,98.45,7.7,25.2,60.4,39.5,8.5
2000,Alabama,Butler County,01013,21394,3606,46.21,4127,52.89,70,0.9,7803,36.47,-6.68,99.1,10.4,33.3,67.8,32.2,7.9
2000,Alabama,Calhoun County,01015,111882,15781,40.56,22306,57.33,822,2.11,38909,34.78,-16.77,97.89,15.2,41.6,73.8,26.1,5.1
2000,Alabama,Chambers County,01017,36600,5616,47.46,6037,51.01,181,1.53,11834,32.33,-3.55,98.47,9.5,32.0,64.1,35.8,4.4
2000,Alabama,Cherokee County,01019,23909,3497,44.7,4154,53.1,172,2.2,7823,32.72,-8.4,97.8,9.7,28.6,63.5,36.5,4.5
2000,Alabama,Chilton County,01021,39604,4806,31.84,10066,66.7,220,1.46,15092,38.11,-34.86,98.54,9.9,30.4,66.2,33.8,4.3
2000,Alabama,Choctaw County,01023,15953,3707,50.27,3600,48.82,67,0.91,7374,46.22,1.45,99.09,9.6,30.2,64.9,35.0,6.6
2000,Alabama,Clarke County,01025,27870,4679,43.52,5988,55.69,85,0.79,10752,38.58,-12.17,99.21,12.1,33.2,70.9,29.2,7.4
2000,Alabama,Clay County,01027,14240,2045,34.76,3719,63.22,119,2.02,5883,41.31,-28.46,97.98,7.8,28.2,66.0,34.0,6.2
2000,Alabama,Cleburne County,01029,14141,1664,32.68,3333,65.46,95,1.87,5092,36.01,-32.78,98.14,9.2,27.0,62.8,37.1,4.1
2000,Alabama,Coffee County,01031,43639,5220,33.82,9938,64.39,276,1.79,15434,35.37,-30.57,98.21,19.3,46.9,73.1,26.8,5.9
2000,Alabama,Colbert County,01033,54979,10543,48.96,10518,48.85,471,2.19,21532,39.16,0.11,97.81,14.1,39.4,73.3,26.7,5.6
2000,Alabama,Conecuh County,01035,14077,2783,50.14,2699,48.62,69,1.24,5551,39.43,1.52,98.76,9.2,29.5,67.6,32.3,6.6
2000,Alabama,Coosa County,01037,11842,2104,46.07,2382,52.16,81,1.77,4567,38.57,-6.09,98.23,8.0,27.3,65.6,34.3,5.5
2000,Alabama,Covington County,01039,37640,4440,32.62,8961,65.83,212,1.56,13613,36.17,-33.21,98.45,12.2,35.4,68.4,31.6,7.0
2000,Alabama,Crenshaw County,01041,13657,1934,40.33,2793,58.25,68,1.42,4795,35.11,-17.92,98.58,11.2,31.1,60.1,39.9,5.8
2000,Alabama,Cullman County,01043,77426,9758,33.05,19157,64.88,610,2.07,29525,38.13,-31.83,97.93,11.9,38.4,70.4,29.6,4.2
2000,Alabama,Dale County,01045,49120,4906,31.04,10593,67.02,307,1.94,15806,32.18,-35.98,98.06,14.0,48.6,77.8,22.2,5.3
2000,Alabama,Dallas County,01047,46361,10967,59.4,7360,39.86,137,0.74,18464,39.83,19.54,99.26,13.9,36.8,70.4,29.7,8.1
