Year,State,County,FIPS Code,At least some college,Bachelor's degree or higher,High school graduate,Less than high school
2000,Alabama,Autauga County,01001,44.9,18.0,78.69999999999999,21.3
2000,Alabama,Baldwin County,01003,52.400000000000006,23.1,82.0,18.0
2000,Alabama,Barbour County,01005,32.2,10.9,64.60000000000001,35.3
2000,Alabama,Bibb County,01007,27.5,7.1,63.2,36.8
2000,Alabama,Blount County,01009,34.4,9.6,70.39999999999999,29.6
2000,Alabama,Bullock County,01011,25.2,7.7,60.400000000000006,39.5
2000,Alabama,Butler County,01013,33.3,10.4,67.8,32.2
2000,Alabama,Calhoun County,01015,41.599999999999994,15.2,73.8,26.1
2000,Alabama,Chambers County,01017,32.0,9.5,64.1,35.8
2000,Alabama,Cherokee County,01019,28.599999999999998,9.7,63.5,36.5
2000,Alabama,Chilton County,01021,30.4,9.9,66.2,33.8
2000,Alabama,Choctaw County,01023,30.200000000000003,9.6,64.9,35.0
2000,Alabama,Clarke County,01025,33.2,12.1,70.9,29.2
2000,Alabama,Clay County,01027,28.2,7.8,66.0,34.0
2000,Alabama,Cleburne County,01029,27.0,9.2,62.8,37.1
2000,Alabama,Coffee County,01031,46.900000000000006,19.3,73.1,26.8
2000,Alabama,Colbert County,01033,39.4,14.1,73.3,26.7
2000,Alabama,Conecuh County,01035,29.5,9.2,67.60000000000001,32.3
2000,Alabama,Coosa County,01037,27.3,8.0,65.6,34.3
2000,Alabama,Covington County,01039,35.4,12.2,68.4,31.6
2000,Alabama,Crenshaw County,01041,31.099999999999998,11.2,60.099999999999994,39.9
2000,Alabama,Cullman County,01043,38.4,11.9,70.4,29.6
2000,Alabama,Dale County,01045,48.6,14.0,77.8,22.2
2000,Alabama,Dallas County,01047,36.8,13.9,70.4,29.7
2000,Alabama,DeKalb County,01049,29.8,8.3,63.8,36.2
2000,Alabama,Elmore County,01051,43.8,16.6,77.6,22.4
2000,Alabama,Escambia County,01053,33.8,10.6,68.5,31.5
2000,Alabama,Etowah County,01055,41.8,13.4,74.1,25.9
2000,Alabama,Fayette County,01057,31.099999999999998,9.2,66.1,33.9
2000,Alabama,Franklin County,01059,31.599999999999998,9.7,62.099999999999994,37.9
2000,Alabama,Geneva County,01061,33.7,8.7,65.7,34.4
2000,Alabama,Greene County,01063,29.9,10.5,64.8,35.2
2000,Alabama,Hale County,01065,29.299999999999997,8.1,65.19999999999999,34.8
2000,Alabama,Henry County,01067,37.6,14.1,66.7,33.3
2000,Alabama,Houston County,01069,46.099999999999994,18.4,76.5,23.5
2000,Alabama,Jackson County,01071,32.1,10.4,67.0,33.0
2000,Alabama,Jefferson County,01073,53.0,24.6,80.9,19.1
2000,Alabama,Lamar County,01075,27.6,7.8,65.1,34.9
2000,Alabama,Lauderdale County,01077,42.3,18.5,76.4,23.6
2000,Alabama,Lawrence County,01079,26.2,7.5,65.6,34.4
2000,Alabama,Lee County,01081,54.7,27.9,81.4,18.6
2000,Alabama,Limestone County,01083,42.0,16.9,74.5,25.5
2000,Alabama,Lowndes County,01085,30.9,11.0,64.3,35.7
2000,Alabama,Macon County,01087,45.1,18.8,70.1,30.0
2000,Alabama,Madison County,01089,63.5,34.3,85.39999999999999,14.6
2000,Alabama,Marengo County,01091,34.6,12.1,72.0,28.1
2000,Alabama,Marion County,01093,30.3,8.0,63.2,36.8
2000,Alabama,Marshall County,01095,38.9,13.9,69.4,30.6
2000,Alabama,Mobile County,01097,44.8,18.6,76.69999999999999,23.3
2000,Alabama,Monroe County,01099,33.5,11.8,67.89999999999999,32.1
2000,Alabama,Montgomery County,01101,55.9,28.5,80.2,19.7
2000,Alabama,Morgan County,01103,46.0,18.4,76.30000000000001,23.7
2000,Alabama,Perry County,01105,32.0,10.0,62.4,37.6
2000,Alabama,Pickens County,01107,31.900000000000002,9.8,69.7,30.3
2000,Alabama,Pike County,01109,39.0,18.4,69.0,30.9
2000,Alabama,Randolph County,01111,29.9,10.0,61.9,38.1
2000,Alabama,Russell County,01113,33.5,9.7,66.5,33.5
2000,Alabama,Shelby County,01117,63.9,36.8,86.9,13.2
2000,Alabama,St. Clair County,01115,36.7,11.1,71.3,28.7
2000,Alabama,Sumter County,01119,33.6,12.4,64.7,35.2
2000,Alabama,Talladega County,01121,35.2,11.2,69.6,30.3
2000,Alabama,Tallapoosa County,01123,37.1,14.1,70.0,29.9
2000,Alabama,Tuscaloosa County,01125,50.4,24.0,78.8,21.2
2000,Alabama,Walker County,01127,32.4,9.1,67.1,32.8
2000,Alabama,Washington County,01129,28.700000000000003,8.6,72.3,27.7
2000,Alabama,Wilcox County,01131,29.299999999999997,10.1,59.6,40.5
2000,Alabama,Winston County,01133,28.400000000000002,8.3,62.7,37.4
2000,Arizona,Apache County,04001,38.7,11.3,63.599999999999994,36.4
2000,Arizona,Cochise County,04003,54.8,18.8,79.4,20.5
2000,Arizona,Coconino County,04005,62.1,29.9,83.7,16.2
2000,Arizona,Gila County,04007,49.6,13.9,78.30000000000001,21.8
2000,Arizona,Graham County,04009,45.400000000000006,11.8,75.5,24.4
2000,Arizona,Greenlee County,04011,47.400000000000006,12.2,82.50000000000001,17.5
2000,Arizona,La Paz County,04012,35.4,8.7,69.3,30.7
2000,Arizona,Maricopa County,04013,59.4,25.9,82.5,17.5
2000,Arizona,Mohave County,04015,42.6,9.9,77.5,22.5
2000,Arizona,Navajo County,04017,43.5,12.3,71.2,28.8
2000,Arizona,Pima County,04019,60.099999999999994,26.7,83.4,16.6
2000,Arizona,Pinal County,04021,42.3,11.9,72.7,27.3
