Year,State,County,FIPS Code,Democrat Votes,Democrat Percentage,Republican Votes,Republican Percentage,Third Party Votes,Third Party Percentage,Total Votes,D-R margin,Two party vote share
2000,Alabama,Autauga County,01001,4942,28.71920037192004,11993,69.69432821943282,273,1.5864714086471408,17208,-40.97512784751278,98.41352859135286
2000,Alabama,Baldwin County,01003,13997,24.782223796033996,40872,72.36543909348441,1611,2.8523371104815864,56480,-47.583215297450415,97.14766288951841
2000,Alabama,Barbour County,01005,5188,49.90860990860991,5096,49.023569023569024,111,1.067821067821068,10395,0.8850408850408868,98.93217893217894
2000,Alabama,Bibb County,01007,2710,38.1636389240952,4273,60.17462329249401,118,1.6617377834107872,7101,-22.01098436839881,98.33826221658921
2000,Alabama,Blount County,01009,4977,27.691537305958942,12667,70.4779391309186,329,1.8305235631224615,17973,-42.786401824959654,98.16947643687755
2000,Alabama,Bullock County,01011,3395,69.22920065252855,1433,29.221044045676997,76,1.5497553017944536,4904,40.00815660685155,98.45024469820555
2000,Alabama,Butler County,01013,3606,46.21299500192234,4127,52.88991413558888,70,0.8970908624887863,7803,-6.676919133666544,99.10290913751122
2000,Alabama,Calhoun County,01015,15781,40.55873962322342,22306,57.32863861831453,822,2.1126217584620526,38909,-16.76989899509111,97.88737824153795
2000,Alabama,Chambers County,01017,5616,47.45648132499578,6037,51.01402737873922,181,1.5294912962649991,11834,-3.557546053743444,98.47050870373499
2000,Alabama,Cherokee County,01019,3497,44.70152115556692,4154,53.09983382334143,172,2.198645021091653,7823,-8.398312667774505,97.80135497890835
2000,Alabama,Chilton County,01021,4806,31.84468592631858,10066,66.69758812615956,220,1.4577259475218658,15092,-34.85290219984098,98.54227405247813
2000,Alabama,Choctaw County,01023,3707,50.27122321670735,3600,48.82017900732303,67,0.908597775969623,7374,1.451044209384321,99.09140222403038
2000,Alabama,Clarke County,01025,4679,43.51748511904761,5988,55.69196428571429,85,0.7905505952380952,10752,-12.174479166666679,99.2094494047619
2000,Alabama,Clay County,01027,2045,34.761176270610235,3719,63.21604623491416,119,2.0227774944756076,5883,-28.454869964303924,97.9772225055244
2000,Alabama,Cleburne County,01029,1664,32.67871170463472,3333,65.45561665357424,95,1.8656716417910446,5092,-32.77690494893952,98.13432835820896
2000,Alabama,Coffee County,01031,5220,33.821433199429826,9938,64.39030711416353,276,1.7882596864066347,15434,-30.568873914733707,98.21174031359337
2000,Alabama,Colbert County,01033,10543,48.964332156789894,10518,48.84822589634033,471,2.1874419468697752,21532,0.11610626044956263,97.81255805313023
2000,Alabama,Conecuh County,01035,2783,50.13511079084849,2699,48.62186993334534,69,1.2430192758061611,5551,1.5132408575031562,98.75698072419382
2000,Alabama,Coosa County,01037,2104,46.069629954017955,2382,52.15677687760017,81,1.77359316838187,4567,-6.0871469235822175,98.22640683161814
2000,Alabama,Covington County,01039,4440,32.61588187761698,8961,65.82678322192022,212,1.5573349004627928,13613,-33.210901344303245,98.44266509953721
2000,Alabama,Crenshaw County,01041,1934,40.33368091762252,2793,58.24817518248175,68,1.4181438998957248,4795,-17.91449426485923,98.58185610010428
2000,Alabama,Cullman County,01043,9758,33.04995766299746,19157,64.8839966130398,610,2.0660457239627434,29525,-31.83403895004234,97.93395427603726
2000,Alabama,Dale County,01045,4906,31.038846007845123,10593,67.01885359989878,307,1.9423003922561053,15806,-35.98000759205365,98.0576996077439
2000,Alabama,Dallas County,01047,10967,59.39666377816292,7360,39.86135181975737,137,0.7419844020797227,18464,19.53531195840555,99.25801559792029
2000,Alabama,Dekalb County,01049,7056,34.78432339166872,12827,63.23391668720729,402,1.9817599211239834,20285,-28.44959329553857,98.018240078876
