Year,State,County,Population
2000,Alabama,Autauga County,43751
2000,Alabama,Baldwin County,140416
2000,Alabama,Barbour County,29042
2000,Alabama,Bibb County,19856
2000,Alabama,Blount County,50982
2000,Alabama,Bullock County,11603
2000,Alabama,Butler County,21394
2000,Alabama,Calhoun County,111882
2000,Alabama,Chambers County,36600
2000,Alabama,Cherokee County,23909
2000,Alabama,Chilton County,39604
2000,Alabama,Choctaw County,15953
2000,Alabama,Clarke County,27870
2000,Alabama,Clay County,14240
2000,Alabama,Cleburne County,14141
2000,Alabama,Coffee County,43639
2000,Alabama,Colbert County,54979
2000,Alabama,Conecuh County,14077
2000,Alabama,Coosa County,11842
2000,Alabama,Covington County,37640
2000,Alabama,Crenshaw County,13657
2000,Alabama,Cullman County,77426
2000,Alabama,Dale County,49120
2000,Alabama,Dallas County,46361
2000,Alabama,Dekalb County,64436
2000,Alabama,Elmore County,65819
2000,Alabama,Escambia County,38452
2000,Alabama,Etowah County,103448
2000,Alabama,Fayette County,18522
2000,Alabama,Franklin County,31257
2000,Alabama,Geneva County,25700
2000,Alabama,Greene County,9923
2000,Alabama,Hale County,18270
2000,Alabama,Henry County,16297
2000,Alabama,Houston County,88831
2000,Alabama,Jackson County,53871
2000,Alabama,Jefferson County,662041
2000,Alabama,Lamar County,15902
2000,Alabama,Lauderdale County,87952
2000,Alabama,Lawrence County,34834
2000,Alabama,Lee County,115014
2000,Alabama,Limestone County,65668
2000,Alabama,Lowndes County,13483
2000,Alabama,Macon County,24086
2000,Alabama,Madison County,276998
2000,Alabama,Marengo County,22533
2000,Alabama,Marion County,31162
2000,Alabama,Marshall County,82303
2000,Alabama,Mobile County,399887
2000,Alabama,Monroe County,24320
2000,Alabama,Montgomery County,223518
2000,Alabama,Morgan County,111076
2000,Alabama,Perry County,11876
2000,Alabama,Pickens County,20914
2000,Alabama,Pike County,29688
2000,Alabama,Randolph County,22344
2000,Alabama,Russell County,49854
2000,Alabama,Shelby County,143429
2000,Alabama,St. Clair County,64740
2000,Alabama,Sumter County,14772
2000,Alabama,Talladega County,80734
2000,Alabama,Tallapoosa County,41771
2000,Alabama,Tuscaloosa County,164932
2000,Alabama,Walker County,70688
2000,Alabama,Washington County,18077
2000,Alabama,Wilcox County,12995
2000,Alabama,Winston County,24806
2000,Arizona,Apache County,69430
2000,Arizona,Cochise County,117743
2000,Arizona,Coconino County,116320
2000,Arizona,Gila County,51298
2000,Arizona,Graham County,33475
2000,Arizona,Greenlee County,8539
2000,Arizona,La Paz County,19670
2000,Arizona,Maricopa County,3072415
2000,Arizona,Mohave County,154981
2000,Arizona,Navajo County,97452
2000,Arizona,Pima County,843702
2000,Arizona,Pinal County,179469
2000,Arizona,Santa Cruz County,38381
2000,Arizona,Yavapai County,167377
2000,Arizona,Yuma County,159995
2000,Arkansas,Arkansas County,20751
2000,Arkansas,Ashley County,24217
2000,Arkansas,Baxter County,38365
2000,Arkansas,Benton County,153323
2000,Arkansas,Boone County,33940
2000,Arkansas,Bradley County,12618
2000,Arkansas,Calhoun County,5731
2000,Arkansas,Carroll County,25345
2000,Arkansas,Chicot County,14101
2000,Arkansas,Clark County,23541
2000,Arkansas,Clay County,17594
2000,Arkansas,Cleburne County,24005
2000,Arkansas,Cleveland County,8562
2000,Arkansas,Columbia County,25612
2000,Arkansas,Conway County,20320
2000,Arkansas,Craighead County,82139
2000,Arkansas,Crawford County,53252
2000,Arkansas,Crittenden County,50855
2000,Arkansas,Cross County,19529
2000,Arkansas,Dallas County,9196
2000,Arkansas,Desha County,15351
2000,Arkansas,Drew County,18690
2000,Arkansas,Faulkner County,86036
2000,Arkansas,Franklin County,17766
2000,Arkansas,Fulton County,11627
2000,Arkansas,Garland County,88122
2000,Arkansas,Grant County,16457
2000,Arkansas,Greene County,37383
2000,Arkansas,Hempstead County,23597
2000,Arkansas,Hot Spring County,30413
2000,Arkansas,Howard County,14304
2000,Arkansas,Independence County,34246
2000,Arkansas,Izard County,13261
2000,Arkansas,Jackson County,18420
2000,Arkansas,Jefferson County,84295
2000,Arkansas,Johnson County,22779
2000,Arkansas,Lafayette County,8550
2000,Arkansas,Lawrence County,17762
2000,Arkansas,Lee County,12578
2000,Arkansas,Lincoln County,14482
2000,Arkansas,Little River County,13628
2000,Arkansas,Logan County,22480
2000,Arkansas,Lonoke County,52849
2000,Arkansas,Madison County,14228
2000,Arkansas,Marion County,16147
2000,Arkansas,Miller County,40455
2000,Arkansas,Mississippi County,51999
2000,Arkansas,Monroe County,10255
2000,Arkansas,Montgomery County,9222
2000,Arkansas,Nevada County,9940
2000,Arkansas,Newton County,8603
2000,Arkansas,Ouachita County,28776
2000,Arkansas,Perry County,10199
2000,Arkansas,Phillips County,26438
2000,Arkansas,Pike County,11301
2000,Arkansas,Poinsett County,25617
2000,Arkansas,Polk County,20234
2000,Arkansas,Pope County,54492
2000,Arkansas,Prairie County,9523
2000,Arkansas,Pulaski County,361370
2000,Arkansas,Randolph County,18191
2000,Arkansas,Saline County,83559
2000,Arkansas,Scott County,10986
2000,Arkansas,Searcy County,8240
2000,Arkansas,Sebastian County,115101
2000,Arkansas,Sevier County,15750
2000,Arkansas,Sharp County,17120
2000,Arkansas,St. Francis County,29330
2000,Arkansas,Stone County,11496
