FIPS Code,State,County,Unemployment rate,Year
1001,Alabama,Autauga County,4.1,2000
1001,Alabama,Autauga County,4.7,2004
1001,Alabama,Autauga County,5.3,2008
1001,Alabama,Autauga County,7.1,2012
1001,Alabama,Autauga County,5.1,2016
1001,Alabama,Autauga County,5.3,2020
1003,Alabama,Baldwin County,3.7,2000
1003,Alabama,Baldwin County,5.1,2004
1003,Alabama,Baldwin County,4.8,2008
1003,Alabama,Baldwin County,7.7,2012
1003,Alabama,Baldwin County,5.4,2016
1003,Alabama,Baldwin County,6.1,2020
1005,Alabama,Barbour County,5.6,2000
1005,Alabama,Barbour County,7.1,2004
1005,Alabama,Barbour County,9.1,2008
1005,Alabama,Barbour County,11.8,2012
1005,Alabama,Barbour County,8.4,2016
1005,Alabama,Barbour County,7.7,2020
1007,Alabama,Bibb County,5.4,2000
1007,Alabama,Bibb County,5.4,2004
1007,Alabama,Bibb County,6.0,2008
1007,Alabama,Bibb County,8.8,2012
1007,Alabama,Bibb County,6.5,2016
1007,Alabama,Bibb County,7.2,2020
1009,Alabama,Blount County,3.5,2000
1009,Alabama,Blount County,4.1,2004
1009,Alabama,Blount County,4.8,2008
1009,Alabama,Blount County,7.1,2012
1009,Alabama,Blount County,5.4,2016
1009,Alabama,Blount County,4.5,2020
1011,Alabama,Bullock County,8.5,2000
1011,Alabama,Bullock County,11.4,2004
1011,Alabama,Bullock County,10.9,2008
1011,Alabama,Bullock County,10.6,2012
1011,Alabama,Bullock County,6.9,2016
1011,Alabama,Bullock County,5.9,2020
1013,Alabama,Butler County,7.9,2000
1013,Alabama,Butler County,9.4,2004
1013,Alabama,Butler County,8.8,2008
1013,Alabama,Butler County,11.8,2012
1013,Alabama,Butler County,6.9,2016
1013,Alabama,Butler County,9.5,2020
1015,Alabama,Calhoun County,5.1,2000
1015,Alabama,Calhoun County,5.4,2004
1015,Alabama,Calhoun County,5.9,2008
1015,Alabama,Calhoun County,9.1,2012
1015,Alabama,Calhoun County,6.6,2016
1015,Alabama,Calhoun County,7.7,2020
1017,Alabama,Chambers County,4.4,2000
1017,Alabama,Chambers County,6.9,2004
1017,Alabama,Chambers County,14.9,2008
1017,Alabama,Chambers County,10.1,2012
1017,Alabama,Chambers County,5.5,2016
1017,Alabama,Chambers County,7.4,2020
1019,Alabama,Cherokee County,4.5,2000
1019,Alabama,Cherokee County,4.7,2004
1019,Alabama,Cherokee County,5.9,2008
1019,Alabama,Cherokee County,8.2,2012
1019,Alabama,Cherokee County,5.1,2016
1019,Alabama,Cherokee County,5.1,2020
1021,Alabama,Chilton County,4.3,2000
1021,Alabama,Chilton County,4.6,2004
1021,Alabama,Chilton County,5.2,2008
1021,Alabama,Chilton County,7.4,2012
1021,Alabama,Chilton County,5.5,2016
1021,Alabama,Chilton County,5.4,2020
1023,Alabama,Choctaw County,6.6,2000
1023,Alabama,Choctaw County,8.5,2004
1023,Alabama,Choctaw County,8.6,2008
1023,Alabama,Choctaw County,10.5,2012
1023,Alabama,Choctaw County,8.5,2016
1023,Alabama,Choctaw County,7.3,2020
1025,Alabama,Clarke County,7.4,2000
1025,Alabama,Clarke County,8.8,2004
1025,Alabama,Clarke County,9.3,2008
1025,Alabama,Clarke County,15.4,2012
1025,Alabama,Clarke County,10.9,2016
1025,Alabama,Clarke County,9.7,2020
1027,Alabama,Clay County,6.2,2000
1027,Alabama,Clay County,6.3,2004
1027,Alabama,Clay County,8.2,2008
1027,Alabama,Clay County,9.6,2012
1027,Alabama,Clay County,6.0,2016
1027,Alabama,Clay County,4.4,2020
1029,Alabama,Cleburne County,4.1,2000
1029,Alabama,Cleburne County,5.2,2004
1029,Alabama,Cleburne County,5.2,2008
1029,Alabama,Cleburne County,8.4,2012
1029,Alabama,Cleburne County,6.0,2016
