table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"Table 1. Intercensal Estimates of the Resident Population for Counties of Rhode Island: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,,
Rhode Island,1048259,1050268,1057142.0,1065995.0,1071342.0,1074579.0,1067916.0,1063096.0,1057315.0,1055003.0,1053646.0,1052567,1052886
.Bristol County,50653,50697,50942.0,51850.0,51658.0,52213.0,51667.0,50996.0,50914.0,50668.0,50075.0,49875,49853
.Kent County,167220,167516,168516.0,169478.0,170641.0,170539.0,169815.0,168522.0,167515.0,167269.0,166766.0,166158,166103
.Newport County,85442,85734,85754.0,85953.0,85646.0,85509.0,83962.0,85130.0,82881.0,82505.0,82896.0,82888,82852
.Providence County,621404,622378,626935.0,632252.0,636149.0,638358.0,635060.0,631691.0,629110.0,627889.0,626304.0,626667,627070
.Washington County,123540,123943,124995.0,126462.0,127248.0,127960.0,127412.0,126757.0,126895.0,126672.0,127605.0,126979,127008
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, 
legal boundary updates, and other geographic program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology
are available at http://www.census.gov/popest/methodology/intercensal_nat_meth.pdf.",,,,,,,,,,,,,
"Note: All geographic boundaries for the 2000-2010 intercensal estimates are defined as of January 1, 2010.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Rhode Island: April 1, 2000 to July 1, 2010 (CO-EST00INT-01-44)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: September 2011,,,,,,,,,,,,,
