full_county_name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
".Autauga County, Alabama",55564,55574,55619,56062,56311,56979,57393,57747,58251,58814
".Baldwin County, Alabama",187051,191053,196205,200910,205083,210148,215475,221187,227057,231766
".Barbour County, Alabama",27416,27301,27132,27012,26600,26186,25585,25359,25187,25225
".Bibb County, Alabama",22749,22680,22543,22585,22607,22654,22607,22385,22408,22302
".Blount County, Alabama",57711,57855,58020,58045,58165,58237,58671,58760,58949,59132
".Bullock County, Alabama",10718,10679,10656,10798,10566,10589,10404,10418,10428,10357
".Butler County, Alabama",20808,20565,20204,20130,19918,19742,19566,19283,19061,19049
".Calhoun County, Alabama",118109,117843,117417,117154,116986,116746,116730,116556,116601,116441
".Chambers County, Alabama",34240,34491,34707,34725,34931,34862,35014,35047,34900,34780
".Cherokee County, Alabama",25824,25657,25583,25326,25030,24924,24842,24921,25005,24968
".Chilton County, Alabama",43756,43706,43809,44003,44004,44225,44514,44573,44861,45010
".Choctaw County, Alabama",13632,13609,13465,13405,13339,13171,13064,12971,12758,12664
".Clarke County, Alabama",25550,25091,25030,24741,24548,24147,23857,23707,23362,23086
".Clay County, Alabama",13822,13678,13759,13905,13985,14071,14142,14197,14269,14238
".Cleburne County, Alabama",14939,14907,15001,15065,14966,14923,14984,15115,15029,15059
".Coffee County, Alabama",50487,51227,50807,50820,51162,51469,52161,52346,52917,53461
".Colbert County, Alabama",54774,54990,55140,55263,55402,55629,56012,56482,56937,57236
".Conecuh County, Alabama",13153,12969,12801,12535,12504,12289,12193,11992,11751,11595
".Coosa County, Alabama",11447,11278,11158,10914,10783,10631,10513,10380,10409,10391
".Covington County, Alabama",38095,37937,38006,38008,37866,37757,37491,37464,37610,37564
".Crenshaw County, Alabama",13830,13798,13679,13631,13580,13588,13496,13428,13333,13196
".Cullman County, Alabama",80858,81083,81848,82576,83618,84633,85381,86203,86898,87863
".Dale County, Alabama",50164,50368,49887,49569,49556,49629,49645,49470,49521,49321
".Dallas County, Alabama",43508,43252,42643,42425,42015,41378,40739,39949,39065,38460
".DeKalb County, Alabama",71328,70900,70863,70939,71036,71080,71399,71383,71453,71607
".Elmore County, Alabama",80746,81546,82485,83084,84017,84966,85753,86083,87061,87981
".Escambia County, Alabama",38261,38120,37906,37920,37887,37751,37301,36846,36940,36762
".Etowah County, Alabama",104475,104486,104201,103822,103533,103527,103767,103553,103342,103436
".Fayette County, Alabama",17071,16973,16864,16818,16753,16632,16537,16518,16354,16327
".Franklin County, Alabama",31847,31828,31751,31814,31831,32030,32083,31966,32115,32112
".Geneva County, Alabama",26790,26986,26772,26715,26781,26659,26592,26510,26548,26661
".Greene County, Alabama",8865,8780,8651,8456,8349,8295,8092,7962,7823,7730
".Hale County, Alabama",15375,15393,15288,15098,15078,14919,14898,14871,14779,14792
".Henry County, Alabama",17369,17139,17109,17050,17067,17025,17063,17052,17071,17145
".Houston County, Alabama",102593,103561,103908,104501,104677,104774,104958,105495,106860,107212
".Jackson County, Alabama",53358,53318,53291,52991,52722,52645,52545,52423,52541,52581
".Jefferson County, Alabama",660446,662275,665344,667912,670261,671873,673076,674672,675357,674716
".Lamar County, Alabama",14315,14292,14275,14151,14029,14043,14021,14032,13990,13977
".Lauderdale County, Alabama",92644,92739,92814,93148,92646,92668,92871,92926,93245,93565
".Lawrence County, Alabama",34052,33829,33620,33511,33225,33326,33185,33076,33043,33070
".Lee County, Alabama",145166,150421,154472,157988,161247,164310,167450,170625,172212,174243
".Limestone County, Alabama",85812,87803,89606,91505,92687,94195,95651,97913,101057,103563
".Lowndes County, Alabama",11226,11005,10880,10776,10695,10655,10576,10510,10333,10309
".Macon County, Alabama",21498,20983,20561,20346,20166,20072,19982,19633,19537,19534
".Madison County, Alabama",340904,345133,350100,354335,358582,363402,369504,375854,382041,388161
".Marengo County, Alabama",20729,20497,20294,20215,20049,19866,19794,19528,19407,19321
".Marion County, Alabama",30610,30404,30104,30042,29924,29704,29531,29441,29451,29343
".Marshall County, Alabama",93981,94412,94572,94542,94933,95533,96065,96772,97358,97608
".Mobile County, Alabama",413337,414272,414573,415014,415539,416224,415432,415667,415076,414806
".Monroe County, Alabama",22705,22414,21931,21609,21327,21085,20751,20418,19996,19771
".Montgomery County, Alabama",229694,229782,229501,229269,229424,229783,230281,229779,229604,228948
".Morgan County, Alabama",120502,120949,120782,121008,121184,121316,121522,122153,122923,123423
".Perry County, Alabama",10422,10112,9927,9707,9524,9388,9130,8851,8718,8514
".Pickens County, Alabama",19270,19157,19083,19987,20423,19902,19719,19375,19296,19125
".Pike County, Alabama",33035,33231,33738,33229,33533,33558,33462,33414,33060,33005
".Randolph County, Alabama",22637,22334,22259,21971,22121,21941,22036,21984,21931,21963
".Russell County, Alabama",55007,57771,59539,59729,59463,58906,57848,58746,59009,59182
".St. Clair County, Alabama",84069,84919,86031,86276,86893,87728,88433,89352,90307,91106
".Shelby County, Alabama",198263,201481,204856,207351,210288,213016,215568,217827,220363,223029
".Sumter County, Alabama",13501,13461,13424,13309,13253,13022,12812,12725,12430,12341
".Talladega County, Alabama",82134,82637,82277,82431,82256,81894,81695,81930,82144,82149
".Tallapoosa County, Alabama",41554,41313,41403,41374,41217,41308,41437,41476,41375,41314
".Tuscaloosa County, Alabama",198823,202553,206489,210155,213508,216926,219667,222053,225397,227039
".Walker County, Alabama",66843,66575,66461,66232,66035,65850,65426,65405,65591,65343
".Washington County, Alabama",17273,16998,16683,16586,16484,16194,16004,15790,15667,15388
".Wilcox County, Alabama",11481,11382,11260,11097,11082,11077,10955,10878,10716,10598
".Winston County, Alabama",24360,24192,24186,24137,23923,23904,23745,23681,23690,23541
".Aleutians East Borough, Alaska",3259,3296,3345,3344,3369,3355,3445,3391,3354,3417
".Aleutians West Census Area, Alaska",5523,5570,5620,5616,5524,5417,5410,5279,5253,5233
".Anchorage Municipality, Alaska",297132,299597,302946,302141,300182,300291,297688,294298,292061,291242
".Bethel Census Area, Alaska",17440,17695,17913,18036,18064,18130,18232,18415,18659,18666
".Bristol Bay Borough, Alaska",1031,984,958,957,916,918,883,897,857,842
".Chugach Census Area, Alaska",6855,6916,7018,6895,6863,6944,6975,7017,7104,7107
".Copper River Census Area, Alaska",2957,2925,2915,2807,2731,2707,2666,2629,2603,2616
".Denali Borough, Alaska",1825,1821,1807,1745,1722,1741,1735,1638,1678,1621
".Dillingham Census Area, Alaska",4946,4945,4972,4975,4980,4960,4925,4992,4920,4854
".Fairbanks North Star Borough, Alaska",98102,100298,100916,99234,99603,100637,99631,98429,96728,95663
".Haines Borough, Alaska",2511,2465,2396,2342,2252,2213,2157,2082,2090,2080
".Hoonah-Angoon Census Area, Alaska",2105,2153,2176,2179,2235,2243,2284,2309,2335,2363
".Juneau City and Borough, Alaska",32206,32465,32712,32641,32816,32664,32347,32317,32344,32255
".Kenai Peninsula Borough, Alaska",56248,56807,56876,57380,57810,58204,58233,58198,58452,58800
".Ketchikan Gateway Borough, Alaska",13707,13778,13799,13892,13818,13858,13987,14010,14049,13951
".Kodiak Island Borough, Alaska",13813,14048,14106,13918,13783,13751,13639,13427,13251,13097
".Kusilvak Census Area, Alaska",7659,7804,7985,8114,8209,8189,8259,8362,8399,8371
".Lake and Peninsula Borough, Alaska",1648,1645,1660,1635,1582,1577,1585,1562,1556,1479
".Matanuska-Susitna Borough, Alaska",91402,93107,95057,97030,99735,102564,104461,105088,106069,107080
".Nome Census Area, Alaska",9786,9846,9882,9853,9952,10043,10107,10152,10128,10037
".North Slope Borough, Alaska",9360,9673,9942,10100,10284,10372,10652,10878,11027,11028
".Northwest Arctic Borough, Alaska",7729,7749,7784,7849,7866,7804,7916,7841,7814,7794
".Petersburg Borough, Alaska",3270,3302,3325,3304,3310,3334,3367,3350,3399,3396
".Prince of Wales-Hyder Census Area, Alaska",6326,6332,6314,6294,6301,6274,6154,6046,5846,5763
".Sitka City and Borough, Alaska",8893,9030,8992,8860,8808,8767,8668,8585,8536,8450
".Skagway Municipality, Alaska",970,1013,1048,1083,1126,1176,1223,1229,1257,1242
".Southeast Fairbanks Census Area, Alaska",7143,7159,6965,6897,6778,6795,6851,6870,6793,6813
".Wrangell City and Borough, Alaska",2351,2339,2328,2282,2256,2260,2244,2212,2168,2124
".Yakutat City and Borough, Alaska",663,677,670,678,665,649,649,645,626,663
".Yukon-Koyukuk Census Area, Alaska",5653,5667,5627,5553,5580,5560,5564,5562,5464,5343
".Apache County, Arizona",71444,70902,70414,69300,67927,67727,67258,66948,66460,66024
".Cochise County, Arizona",132866,131619,128991,126558,125508,124592,123547,124874,125334,125445
".Coconino County, Arizona",134580,136692,137493,138597,140239,141966,142873,144704,145975,145100
".Gila County, Arizona",53317,52779,52693,52638,52483,52760,52877,52989,53130,53275
".Graham County, Arizona",37053,36890,37259,37865,37570,37480,37090,37532,38330,38534
".Greenlee County, Arizona",8612,8809,8983,9441,9691,9767,9595,9589,9651,9562
".La Paz County, Arizona",19996,19424,18937,18444,17911,17615,17194,16998,16737,16556
".Maricopa County, Arizona",3857934,3916733,3973267,4035496,4101119,4170720,4227971,4290093,4363090,4420574
".Mohave County, Arizona",202479,202748,202259,202280,203173,203855,205297,207673,210821,213268
".Navajo County, Arizona",106914,106171,105483,105544,104982,105337,105397,106224,106255,106715
".Pima County, Arizona",986556,989728,992316,997906,1001320,1007353,1015829,1024904,1034864,1043436
".Pinal County, Arizona",371737,370875,368974,373858,379112,385383,394457,404387,414398,425261
".Santa Cruz County, Arizona",47746,47520,47177,46955,46936,46939,47190,47142,47507,47667
".Yavapai County, Arizona",210690,211360,213521,216551,219375,222870,226127,229883,233165,236211
".Yuma County, Arizona",201234,199550,198159,198457,198261,198914,199678,200360,201978,203877
".Arkansas County, Arkansas",18879,18941,18703,18401,18223,18023,17715,17539,17247,17146
".Ashley County, Arkansas",21626,21430,21155,20797,20638,20285,20032,19699,19358,19064
".Baxter County, Arkansas",41278,40953,40801,40644,40836,40778,40877,41162,41414,41639
".Benton County, Arkansas",228912,234477,238789,243956,250516,258016,265165,270606,277645,284331
".Boone County, Arkansas",37055,37279,37255,37021,37005,37117,37311,37294,37335,37365
".Bradley County, Arkansas",11413,11229,11072,10943,10921,10868,10706,10696,10655,10543
".Calhoun County, Arkansas",5193,5190,5066,5002,4996,4907,4917,4889,4782,4742
".Carroll County, Arkansas",27467,27622,27786,27725,27730,27674,27835,27975,28269,28265
".Chicot County, Arkansas",11731,11548,11436,11309,11092,11055,10801,10632,10375,10209
".Clark County, Arkansas",22843,22598,22356,22259,22141,22173,21689,21738,21669,21444
".Clay County, Arkansas",15893,15740,15526,15356,15278,15144,14957,14875,14620,14555
".Cleburne County, Arkansas",25853,25713,25553,25496,25237,24996,24882,24873,24759,24706
".Cleveland County, Arkansas",8622,8517,8383,8229,8073,7995,7877,7650,7555,7551
".Columbia County, Arkansas",24633,24274,24089,23799,23806,23644,23245,23092,22947,22797
".Conway County, Arkansas",21087,21070,20987,20863,20772,20678,20590,20572,20610,20710
".Craighead County, Arkansas",98333,99862,101456,102411,104145,105605,106770,108500,110130,111236
".Crawford County, Arkansas",61400,61190,60626,60440,60215,60230,60566,60732,60325,60128
